WS,WG,category,definition,gloss,uni_lemma
asvat1,,sounds,اخ-وای,ouch,ouch
a2,,sounds,اه-اخ,ouch,ouch
a3,,sounds,صداي اژير (ب، بو),ring (alarm),
a4,,sounds,صداي اسب,neigh,neigh
a5,,sounds,صداي اردك,quack,quack quack
a6,,sounds,صدای تفنگ (بنگ،بنگ),bang (gun),bang bang
a7,,sounds,صداي جوجه ( جيك،جيك),chirp (chicken),
a8,,sounds,صداي خروس ( قوقولي قوقو),cockadoodledoo,cockadoodledoo
a9,,sounds,صداي سگ (هاپ،هاپ),woof woof,woof woof
a10,,sounds,صداي قطار (هو هو چي چي),choo choo,choo choo
a11,,sounds,صداي كلاغ ( قار قار),caw caw (crow),caw
a12,,sounds,صداي گربه ( ميو ميو),meow meow,meow
a13,,sounds,صداي گوسفند (بع بع),baa baa,baa baa
a14,,sounds,صداي ماشين (ام/بيب، بيب),honk,honk honk
a15,,sounds,صدای موتور,vroom,vroom
vasilenaqliye1,O1,vehicles,اتوبوس,bus,bus
v2,,vehicles,تراکتور,tractor,tractor
v3,,vehicles,دوچرخه (چرخ),bicycle,bicycle
v4,,vehicles,سهچرخه,tricycle,
v5,,vehicles,قایق,boat,boat
v6,O3,vehicles,قطار,train,train
v7,O4,vehicles,کامیون,truck,truck
v8,O6,vehicles,ماشین,car,car
v9,O7,vehicles,موتور,motorcycle,motorcycle
v10,,vehicles,مینی بوس,minibus,bus
v11,O8,vehicles,هلی کوپتر,helicopter,helicopter
v12,O9,vehicles,هواپیما,airplane,airplane
v13,,vehicles,کشتی,ship,boat
qaza1,,food_drink,اب,water,water (beverage)
q2,,food_drink,ابگوشت,broth,soup
q3,,food_drink,اب میوه) ساندیس),juice,juice
q4,,food_drink,اب نبات,candy,candy
q5,,food_drink,اجیل,nuts,nut
q6,,food_drink,ادامس,gum,gum
q7,,food_drink,آش,soup,soup
q8,,food_drink,البالو,sour cherry,cherry
q9,,food_drink,انار,pomegranate,pomegranate
q10,,food_drink,انگور,grape,grapes
q11,,food_drink,بادام,almond,
q12,,food_drink,برنج,rice,rice
q13,F7,food_drink,بستنی,ice cream,ice cream
q14,,food_drink,بلال,roasted corn,corn
q15,F6,food_drink,بیسکویت,biscuits,cookie
q16,F10,food_drink,پرتقال,orange,orange (food)
q17,,food_drink,پسته,pistachio,
q18,F8,food_drink,پفک,cheetos,
q19,,food_drink,پلو,rice,rice
q20,F9,food_drink,پنیر,cheese,cheese
q21,,food_drink,پیاز,onion,onion
q22,,food_drink,پیتزا,pizza,pizza
q23,,food_drink,تخم مرغ,egg,egg
q24,,food_drink,تن ماهی,tuna,fish (food)
q25,,food_drink,توت,mulberry,berry
q26,F12,food_drink,چای,tea,tea
q27,,food_drink,چوب شور,pretzel,pretzel
q28,,food_drink,چیپس,chips,chips
q29,,food_drink,خربزه,melon,
q30,,food_drink,خورش,stew,
q31,,food_drink,خیار,cucumber,cucumber
q32,,food_drink,رب,tomato paste,
q33,,food_drink,دوغ,doogh (yogurt drink),yogurt drink
q34,,food_drink,ساندویچ,sandwich,sandwich
q35,,food_drink,سبزی,vegetables,vegetable
q36,,food_drink,سس,sauce,sauce
q37,,food_drink,سوپ,soup,soup
q38,,food_drink,سوسیس,sausage,sausage
q39,,food_drink,سیب,apple,apple
q40,,food_drink,سیب زمینی,potato,potato
q41,,food_drink,شربت,syrup,
q42,,food_drink,شکلات,chocolate,chocolate
q43,,food_drink,شیر (خوراکی),milk,milk
q44,,food_drink,شیرینی,sweets,candy
q45,,food_drink,غذا,food,food
q46,,food_drink,فلفل,pepper,pepper
q47,,food_drink,فندق,hazelnut,
q48,,food_drink,قارچ,mushrooms,mushroom
q49,,food_drink,قند,sugar,sugar
q50,,food_drink,کاکائو,cocoa,cocoa
q51,,food_drink,کالباس,bologna,
q52,,food_drink,کره,butter,butter
q53,,food_drink,کباب,barbecue,
q54,,food_drink,کشمش,raisins,raisin
q55,,food_drink,کیک,cake,cake
q56,,food_drink,کیوی,kiwi,kiwi
q57,,food_drink,گردو,walnut,
q58,,food_drink,گوشت,meat,meat
q59,,food_drink,گوجه,tomato,tomato
q60,,food_drink,گیلاس,cherries,cherry
q61,,food_drink,لوبیا,beans,beans
q62,,food_drink,لیمو,lemon,lemon
q63,,food_drink,ماست,yogurt,yogurt
q64,F24,food_drink,ماکارونی,macaroni,pasta
q65,,food_drink,مربا,jam,jam
q66,,food_drink,موز,banana,banana
q67,,food_drink,میوه,fruit,fruit
q68,,food_drink,نان,bread,bread
q69,,food_drink,نارنگی,mandarin,orange (food)
q70,,food_drink,نوشابه,soda,soda
q71,,food_drink,نخودچی,chickpeas,
q72,,food_drink,نمک,salt,salt
q73,,food_drink,هلو,peach,peach
q74,,food_drink,همبرگر,hamburgers,hamburger
q75,,food_drink,هندوانه,watermelon,watermelon
q76,,food_drink,یخ,ice,ice
asbabbazi1,,toys,اسباب بازی,toy,toy (object)
asbab2,,toys,بادبادک,kite,kite
